接続キー,種牡馬名,正規名,繁殖登録番号,ID確定区分,接続方法,完成区分,現代出走馬での役割,父出現数,母父出現数,母母父出現数,合計出現数,該当出走馬数,父_父祖先名,父_父M,父_母父祖先名,父_母父M,父_母母父祖先名,父_母母父M,母父_父祖先名,母父_父M,母父_母父祖先名,母父_母父M,母父_母母父祖先名,母父_母母父M,母母父_父祖先名,母母父_父M,母母父_母父祖先名,母母父_母父M,母母父_母母父祖先名,母母父_母母父M,9枝シグネチャ,監査注記
ID:1140007023,Not A Single Doubt,Not A Single Doubt,1140007023,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Danehill,地,Canny Lad,地,Nijinsky,バ,Crown Jester,バ,Roan Rocket,極,Matador,極,Northern Dancer,地,Grey Sovereign,極,Vigorous,極,地-地-バ | バ-極-極 | 地-極-極,
ID:1140003399,Opening Verse,Opening Verse,1140003399,確定,繁殖登録番号,S_v9.20高影響祖先反映で完成,母母父,0,0,4,4,,Northern Dancer,地,Victoria Park,極,Bull Page,極,Herbager,極,Mahmoud,極,Pavot,極,Eight Thirty,極,Wise Counsellor,バ,Stefan the Great,極,地・極・極｜極・極・極｜極・バ・極,
ID:1140007167,Oscar Performance,Oscar Performance,1140007167,確定,繁殖登録番号,A_v9.3直接完成,父,4,0,0,4,4,El Prado,地,Lear Fan,極,L'Enjoleur,バ,Nureyev,地,Sassafras,バ,Hail to Reason,極,Raise a Native,極,Nashua,極,Count Fleet,極,地-極-バ | 地-バ-極 | 極-極-極,
ID:1140007448,Palace Pier,Palace Pier,1140007448,確定,繁殖登録番号,A_v9.3直接完成,父,4,0,0,4,4,Invincible Spirit,地,Zamindar,地,ダンシングブレーヴ,バ,Gulch,地,Bustino,極,Queen's Hussar,極,Northern Dancer,地,Chop Chop,極,Windfields,極,地-地-バ | 地-極-極 | 地-極-極,
ID:1140006009,Panis,Panis,1140006009,確定,繁殖登録番号,A_v9.3直接完成,父・母父,1,3,0,4,4,Mr. Prospector,極,Buckpasser,極,Princequillo,極,Matsadoon,バ,Vaguely Noble,地,Marino,極,Hail to Reason,極,Nashua,極,Bull Lea,極,極-極-極 | バ-地-極 | 極-極-極,
ID:1140007066,Repent,Repent,1140007066,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,2,2,4,4,Sovereign Dancer,地,On to Glory,極,Distinctive,極,Lacydon,地,Tamerlane,極,Owen Tudor,地,Sicambre,極,Djebel,極,,バ,地-極-極 | 地-極-地 | 極-極-バ,
ID:1140001792,Robellino,Robellino,1140001792,確定,繁殖登録番号,I_v9.11_TARGET固定8代年代境界反映で完成,母母父,0,0,4,4,,Hail to Reason,極,Nashua,極,Bull Lea,極,Timor,極,Gusty,極,Badruddin,極,Nasrullah,極,Discovery,極,Pompey,極,極・極・極｜極・極・極｜極・極・極,
ID:1140006674,Roderic O'Connor,Roderic O'Connor,1140006674,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Sadler's Wells,地,Miswaki,極,Lombard,地,Danzig,地,His Majesty,地,Buckpasser,極,Sharpen Up,地,Reliance,極,Crepello,極,地-極-地 | 地-地-極 | 地-極-極,
ID:1140007097,Runhappy,Runhappy,1140007097,確定,繁殖登録番号,A_v9.3直接完成,父・母父,3,1,0,4,4,Maria's Mon,地,A.P. Indy,バ,Mr. Prospector,極,Unbridled,極,Nijinsky,バ,Blushing Groom,極,Northern Dancer,地,,バ,,バ,地-バ-極 | 極-バ-極 | 地-バ-バ,
ID:1140006326,Sabmykaa,Sabmykaa,1140006326,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,サクラユタカオー,地,ノーザンテースト,地,Ambiopoise,極,Halo,極,Understanding,極,Montparnasse,地,Sharpen Up,地,Reliance,極,Crepello,極,地-地-極 | 極-極-地 | 地-極-極,
ID:1140005852,Sakhee,Sakhee,1140005852,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Riverman,極,Nijinsky,バ,Bold Bidder,極,Northern Dancer,地,Bold Reason,極,Forli,地,Tenerani,極,El Greco,極,,バ,極-バ-極 | 地-極-地 | 極-極-バ,
ID:1140001937,Seattle Dancer,Seattle Dancer,1140001937,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Northern Dancer,地,Bull Page,極,Menow,極,Round Table,極,Nasrullah,極,War Admiral,極,Jet Pilot,極,War Admiral,極,Bubbling Over,バ,地・極・極｜極・極・極｜極・極・バ,
ID:1140007373,Sebi Halo,Sebi Halo,1140007373,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Halo,極,Northern Dancer,地,Sea-Bird,極,Caro,極,Outing Class,地,Tom Fool,極,El Curaca,極,Vitelio,極,Guatan,極,極-地-極 | 極-地-極 | 極-極-極,
ID:1140004803,Settlement Day,Settlement Day,1140004803,確定,繁殖登録番号,F_v9.4-v9.8追加祖先反映で完成,母母父,0,0,4,4,,Tom Fool,極,War Admiral,極,Blue Larkspur,バ,Khaled,地,Beau Pere,極,War Admiral,極,Prince Rose,極,Papyrus,極,White Eagle,バ,極・極・バ｜地・極・極｜極・極・バ,
ID:1140006627,Shantou,Shantou,1140006627,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Hoist the Flag,極,Prince John,極,Determine,地,Northern Dancer,地,Sir Ivor,極,Tom Fool,極,Sharpen Up,地,Reliance,極,Crepello,極,極・極・地｜地・極・極｜地・極・極,
ID:1140004415,Silver Charm,Silver Charm,1140004415,確定,繁殖登録番号,Y_v9.26残件祖先固定8代欠損0運用確定で完成,母父・母母父,0,1,3,4,,Buckpasser,極,Hail to Reason,極,Mahmoud,極,Round Table,極,Nasrullah,極,War Admiral,極,Market Wise,極,Isolater,バ,Sir Gallahad,極,極・極・極｜極・極・極｜極・バ・極,
ID:1140006868,Sixties Icon,Sixties Icon,1140006868,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,3,1,4,4,Sadler's Wells,地,Miswaki,極,Lombard,地,Sharpen Up,地,Reliance,極,Crepello,極,Alleged,地,Boldnesian,極,Summer Tan,地,地-極-地 | 地-極-極 | 地-極-地,
ID:1140006483,Soave,Soave,1140006483,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,3,1,4,4,Elegant Air,極,Sharpen Up,地,Tropique,極,Northern Dancer,地,Tudor Minstrel,地,Stymie,極,Hodell,極,Iron Liege,極,Brantome,極,極-地-極 | 地-地-極 | 極-極-極,
ID:1140006871,Sportsworld,Sportsworld,1140006871,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Hoist the Flag,極,Prince John,極,Determine,地,Northern Dancer,地,Forli,地,Nantallah,極,Turn-to,極,Princequillo,極,Caruso,バ,極・極・地｜地・地・極｜極・極・バ,
ID:1140002556,Stately Don,Stately Don,1140002556,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Northern Dancer,地,Forli,地,Nantallah,極,Wild Risk,極,Verso,極,Easton,極,Nasrullah,極,Discovery,極,Pompey,極,地・地・極｜極・極・極｜極・極・極,
ID:1140004705,Stephen Got Even,Stephen Got Even,1140004705,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,1,3,4,4,Seattle Slew,極,Secretariat,極,Buckpasser,極,Best Turn,バ,Ballydonnell,極,,バ,Red God,極,Wild Risk,極,Tudor Minstrel,地,極-極-極 | バ-極-バ | 極-極-地,
ID:1140005413,Storm Creek,Storm Creek,1140005413,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父,0,4,0,4,4,Storm Bird,地,Secretariat,極,Crimson Satan,極,Raise a Native,極,Nashua,極,Count Fleet,極,Battle Joined,極,Turn-to,極,Princequillo,極,地・極・極｜極・極・極｜極・極・極,
ID:1140007103,Style Vendome,Style Vendome,1140007103,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Danzig,地,Gay Mecene,地,Riverman,極,Kris S.,極,Miswaki,極,Coco La Terreur,地,Highest Honor,バ,Sadler's Wells,地,Pretense,地,地-地-極 | 極-極-地 | バ-地-地,
