検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
芝馬場状態×クッション値階層,良×低,父ブロック,極極地,1690,0.0650887573964497,0.0783755351055674,0.8304728932157062,-2.1765440387782964,0.21715976331360948,0.2335801663024223,0.9297012103007372,-1.8796170739501685,43.66863905325445,弱,やや弱
芝馬場状態×クッション値階層,重×低,父ブロック,地バ極,1118,0.09302325581395349,0.07683085109121993,1.210753941844385,2.1707631828667435,0.2513416815742397,0.23071768757007208,1.0893906064219885,1.9453345627824752,81.2522361359571,強,やや強
芝馬場状態×クッション値階層,良×標準,父ブロック,地地極,838,0.06682577565632458,0.05833914481555426,1.1454706075586427,1.1296188134765062,0.20405727923627684,0.17991706910546174,1.1341740961590747,2.1694238196260196,73.44868735083534,中立,強
芝馬場状態×クッション値階層,良×標準,父ブロック,地極地,1658,0.05126658624849216,0.06262248976255845,0.8186609386320519,-2.070003378353369,0.19360675512665862,0.19313325892483743,1.0024516554241207,0.059023394097449874,62.85886610373945,弱,中立
芝馬場状態×クッション値階層,良×標準,母父ブロック,バ極極,1200,0.07666666666666666,0.07168137818804192,1.069547888233215,0.7253377656450403,0.23416666666666666,0.21413989124025878,1.093521927700703,2.0638430609496163,58.199999999999974,中立,やや強
芝馬場状態×クッション値階層,良×高,父ブロック,地バ極,4986,0.0842358604091456,0.0778724768108319,1.0817154386108927,1.8046004291271496,0.2438828720417168,0.2336555128458653,1.0437711016157285,2.053773493914263,79.68110709987964,やや強,中立
芝馬場状態×クッション値階層,良×低,母父ブロック,極地極,585,0.08205128205128205,0.06333492910989434,1.2955139163243146,1.9733243759118309,0.20683760683760682,0.19811429680815415,1.044031703768961,0.6154633752350279,102.39316239316238,やや強,中立
芝馬場状態×クッション値階層,稍重×標準,母母父ブロック,極極極,811,0.07028360049321825,0.07057845754209313,0.9958222797841817,-0.03533575601759348,0.18865598027127004,0.21199738760523273,0.8898976652607272,-1.9675280111655689,55.980271270036994,中立,やや弱
芝馬場状態×クッション値階層,重×低,母母父ブロック,地極極,1119,0.06255585344057193,0.07698788521571072,0.8125415221537522,-1.9323778656965913,0.225201072386059,0.22963953374647292,0.9806720502868025,-0.4212158116304696,67.81948168007149,やや弱,中立
芝馬場状態×クッション値階層,良×やや高,父ブロック,極極地,2959,0.08009462656302806,0.08933924921773935,0.8965222706071759,-1.9166269631127604,0.24771882392700237,0.2594511306982146,0.9547802827467385,-1.779990293455125,59.4254815816154,やや弱,中立
芝馬場状態×クッション値階層,良×やや低,父ブロック,地極地,1746,0.06471935853379153,0.06118669396818186,1.0577358300719224,0.6580644992644508,0.2073310423825888,0.19239161752742776,1.077651121432207,1.8822839490859224,63.10423825887743,中立,やや強
芝馬場状態×クッション値階層,良×低,母父ブロック,地地地,809,0.08281829419035847,0.08004157660445196,1.0346909406798475,0.31455877403275684,0.2595797280593325,0.23664626345982567,1.0969103178060537,1.8511488751572014,71.1372064276885,中立,やや強
芝馬場状態×クッション値階層,良×やや低,父ブロック,地極極,1336,0.05913173652694611,0.05854759219568976,1.0099772562687788,0.09679855827548862,0.20059880239520958,0.1840386630778505,1.0899818496853237,1.8491278357769954,59.6556886227545,中立,やや強
芝馬場状態×クッション値階層,良×やや低,父ブロック,極地バ,1086,0.09484346224677716,0.09500997663762922,0.998247400991507,-0.02029957761203507,0.2559852670349908,0.27595024703695165,0.9276500738218676,-1.7999455342452189,89.88029465930015,中立,やや弱
芝馬場状態×クッション値階層,良×低,父ブロック,地地地,3502,0.08823529411764706,0.0805481466650381,1.0954354354616773,1.79464165642105,0.240434037692747,0.2405342063532468,0.9995835575238198,-0.016500518229511298,83.35808109651627,やや強,中立
芝馬場状態×クッション値階層,良×標準,父ブロック,極地バ,1034,0.08027079303675048,0.0953008162996627,0.8422886199038213,-1.7826762369354436,0.269825918762089,0.28235204030291944,0.9556365113303523,-1.0969822027926666,70.12572533849128,やや弱,中立
芝馬場状態×クッション値階層,稍重×低,父ブロック,地バ極,1774,0.09188275084554678,0.0811908625094339,1.131688320651484,1.775157038170373,0.25535512965050733,0.24195207591064855,1.0553954897448719,1.5847883004408039,101.01465614430667,やや強,やや強
芝馬場状態×クッション値階層,良×高,父ブロック,地極地,1547,0.051712992889463474,0.061811759602225395,0.836620624008278,-1.7677560009814088,0.19327731092436976,0.19128813850314458,1.0103988278457343,0.2386234138133599,64.09179056237878,やや弱,中立
