検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
ダート含水率階層,標準,父ブロック,地極地,1210,0.06611570247933884,0.06463859139683943,1.0228518451683282,0.22538395429287567,0.18099173553719008,0.1958506983464849,0.9241311727007099,-1.5625344286541816,56.52892561983468,中立,やや弱
ダート含水率階層,低,父ブロック,地地地,7085,0.06464361326746648,0.06900048525517596,0.9368573717764882,-1.5612548757907554,0.20155257586450248,0.2073327003948575,0.9721215007601455,-1.4421722602925504,64.93577981651372,やや弱,中立
ダート含水率階層,やや高,父ブロック,極地地,549,0.09836065573770492,0.08169046241986713,1.204065356273263,1.5497599664096608,0.24408014571949,0.23696761598524602,1.030014775245436,0.47055414645971994,78.56102003642987,やや強,中立
ダート含水率階層,標準,父ブロック,極地地,532,0.08458646616541353,0.07409512666241226,1.141592841197253,0.9987930160784142,0.24060150375939848,0.21743515212777775,1.1065437276581978,1.5497042237732204,68.81578947368423,中立,やや強
ダート含水率階層,低,母父ブロック,地極極,3943,0.06796855186406289,0.07384631362893801,0.9204054816546481,-1.5314892963626707,0.2120213035759574,0.2182096479491485,0.9716403723146411,-1.1438479669652946,76.48998224702007,やや弱,中立
ダート含水率階層,やや低,母母父ブロック,極バ極,559,0.057245080500894455,0.06506877508162111,0.8797626884644324,-0.8008602239537708,0.1771019677996422,0.19884534771936735,0.8906518046858617,-1.5196852115324964,75.47406082289805,中立,やや弱
ダート含水率階層,標準,母母父ブロック,地地極,768,0.06640625,0.08013335789839604,0.8286967093554081,-1.516165571332552,0.23046875,0.23569594742721076,0.9778222855154306,-0.4150869958374719,37.812499999999986,やや弱,中立
ダート含水率階層,標準,父ブロック,地極バ,662,0.08308157099697885,0.08298282937474205,1.0011899042606862,0.010016487626454781,0.22205438066465258,0.2423911620304842,0.9160993280634796,-1.5079211279742093,74.25981873111782,中立,やや弱
ダート含水率階層,高,父ブロック,地地バ,964,0.07365145228215768,0.06274095563665708,1.1738975209221394,1.5043698246020927,0.20435684647302904,0.1907232233689625,1.0714838123183967,1.2939969192947662,112.35477178423233,やや強,中立
競馬場×クッション値階層,中京×やや低,母父ブロック,極極地,579,0.07944732297063903,0.07757590694460705,1.0241236757614482,0.1846677999707475,0.19170984455958548,0.22697793730946975,0.8446188507661055,-2.476752062489588,90.43177892918824,中立,弱
競馬場×クッション値階層,新潟×標準,父ブロック,地地地,878,0.09681093394077449,0.07726043739383276,1.2530466718339122,2.3217146432989706,0.244874715261959,0.228528951438432,1.0715260089395313,1.3702381912864083,119.00911161731203,強,中立
競馬場×クッション値階層,中京×高,父ブロック,極極地,805,0.06832298136645963,0.08878335340388753,0.7695472039183867,-2.200096503470201,0.2372670807453416,0.2593279099976038,0.9149307559974318,-1.7478095618205773,48.62111801242235,弱,やや弱
