ブロック,方向,信頼度,条件,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定,総合強度
母父ブロック,プラス,C,京都×1800×ダ,極地地,445,0.11235955056179775,0.08317674767400081,1.3508528970401044,2.452662852995786,0.25842696629213485,0.24275245946216953,1.064569919763915,0.9601543892527511,94.24719101123597,強,中立,2.452662852995786
母父ブロック,プラス,B,中山×1800×ダ,極地地,756,0.08597883597883597,0.06593783769929683,1.3039377537815875,2.4062732870573464,0.2037037037037037,0.19930594665157997,1.022065357938425,0.36866512149993763,121.8783068783069,強,中立,2.4062732870573464
母父ブロック,プラス,C,小倉×2860×芝,極極地,331,0.09063444108761329,0.08338635874031208,1.086921679478459,0.5115805431592553,0.3081570996978852,0.25960276222519507,1.1870332081850932,2.38471316930247,106.34441087613295,中立,強,2.38471316930247
母父ブロック,プラス,B,阪神×1600×芝,極極地,1238,0.08966074313408724,0.07467247110035324,1.2007201825903293,2.163875365051204,0.23182552504038773,0.22292419524722573,1.0399298505184253,0.919423166903411,83.78029079159937,強,中立,2.163875365051204
母父ブロック,プラス,B,函館×1200×芝,極極極,762,0.09317585301837271,0.07421508902921015,1.2554839485768161,2.1304786780045433,0.24146981627296588,0.22345936575896908,1.0805983246789643,1.4090105205157768,96.18110236220474,強,中立,2.1304786780045433
母父ブロック,プラス,C,東京×2100×ダ,地極極,458,0.10043668122270742,0.07579639995292729,1.3250851133442059,2.1208360931018824,0.2576419213973799,0.2303518138075229,1.1184714248122225,1.6388434177814117,185.93886462882088,強,やや強,2.1208360931018824
母父ブロック,プラス,C,小倉×1000×ダ,地極極,349,0.12034383954154727,0.09068397641580848,1.3270684005930768,2.077986575262915,0.27793696275071633,0.26019527076856114,1.0681860662945566,0.9045904878490588,147.44985673352434,強,中立,2.077986575262915
母父ブロック,プラス,C,中山×1600×芝,バ極極,347,0.09510086455331412,0.06998053481879114,1.3589616712643025,1.9576281916151728,0.2334293948126801,0.21140520593304782,1.1041799741043623,1.2001880198287995,92.5936599423631,やや強,中立,1.9576281916151728
母父ブロック,プラス,C,中京×2200×芝,極極極,422,0.07582938388625593,0.07208845658693672,1.0518935690460753,0.3238299862065453,0.25118483412322273,0.2190827471660599,1.1465295071036796,1.931345474361799,96.63507109004739,中立,やや強,1.931345474361799
母父ブロック,プラス,C,東京×1600×芝,地地地,367,0.08991825613079019,0.0678467733517139,1.3253136691506162,1.8562677728732382,0.21525885558583105,0.20415124773112622,1.0544087189187006,0.6569648607187895,60.245231607629435,やや強,中立,1.8562677728732382
母父ブロック,プラス,B,新潟×1600×芝,極極極,577,0.07625649913344887,0.05946007384704738,1.2824824155046952,1.839447677116179,0.1854419410745234,0.18170589903325807,1.0205609287378254,0.2781260130903333,112.68630849220102,やや強,中立,1.839447677116179
母父ブロック,プラス,C,新潟×1000×芝,地極極,300,0.08,0.05734976149745349,1.3949491316289477,1.7742260258605922,0.18333333333333332,0.1731193087457129,1.0589999155011838,0.5299584618289845,88.16666666666667,やや強,中立,1.7742260258605922
母父ブロック,プラス,B,東京×2000×芝,極極地,747,0.08835341365461848,0.0825047189017171,1.0708892149534937,0.6372585699918947,0.27041499330655955,0.24934829214666784,1.0844870481306534,1.681876830322507,61.432396251673374,中立,やや強,1.681876830322507
母父ブロック,プラス,B,新潟×2000×芝,極極地,578,0.09342560553633218,0.07690972244732967,1.2147437614316334,1.5988437412094834,0.23356401384083045,0.22713587360124612,1.0283008585903493,0.44733188412627595,93.87543252595157,やや強,中立,1.5988437412094834
母父ブロック,プラス,B,新潟×1000×芝,極極地,618,0.06634304207119741,0.052794448042485564,1.2566291443715598,1.5823895698545523,0.1715210355987055,0.16093554569968754,1.065774716536339,0.8177534551993554,83.13915857605176,やや強,中立,1.5823895698545523
母父ブロック,プラス,C,中京×1400×ダ,極地地,343,0.09912536443148688,0.07803132503506924,1.2703278380437275,1.5672133566777797,0.2303206997084548,0.22910577634911777,1.0053028927454264,0.06402393388472058,91.54518950437318,やや強,中立,1.5672133566777797
母父ブロック,プラス,B,京都×2000×芝,極極地,559,0.08765652951699464,0.08734901137016694,1.0035205681438626,0.0280145201939831,0.2844364937388193,0.2612104166069757,1.0889171168345488,1.5561189185135575,77.22719141323792,中立,やや強,1.5561189185135575
母父ブロック,プラス,B,小倉×1700×ダ,極極地,1745,0.07106017191977078,0.06476335352076833,1.0972281090568168,1.1334267544375907,0.20916905444126074,0.1965142612971835,1.0643963092578799,1.547930149840065,85.81088825214898,中立,やや強,1.547930149840065
