血統登録番号,馬名,父正規名,母父正規名,母母父正規名,枝1_父ブロック_父父,枝2_父ブロック_母父,枝3_父ブロック_母母父,枝4_母父ブロック_父父,枝5_母父ブロック_母父,枝6_母父ブロック_母母父,枝7_母母父ブロック_父父,枝8_母母父ブロック_母父,枝9_母母父ブロック_母母父,現代馬9枝シグネチャ
2020101353,マロンアイス,エピファネイア,ダイワメジャー,Storm Cat,極,地,バ,極,極,地,地,極,極,極・地・バ｜極・極・地｜地・極・極
2020104519,シーズオブホープ,リアルスティール,ヴィクトワールピサ,ブライアンズタイム,地,バ,極,地,地,地,極,極,地,地・バ・極｜地・地・地｜極・極・地
2020105494,ニシノライコウ,エイシンヒカリ,ストリートセンス,キングヘイロー,地,バ,極,極,地,極,バ,極,極,地・バ・極｜極・地・極｜バ・極・極
2020101223,エルクリード,リオンディーズ,ゼンノロブロイ,サクラバクシンオー,地,地,地,極,極,地,地,極,極,地・地・地｜極・極・地｜地・極・極
2020106166,ヒルズカーン,ダノンバラード,オレハマッテルゼ,サクラローレル,地,バ,極,極,極,地,極,極,極,地・バ・極｜極・極・地｜極・極・極
2020102191,グランツグリーン,リアルスティール,タニノギムレット,スペシャルウィーク,地,バ,極,極,地,極,極,極,地,地・バ・極｜極・地・極｜極・極・地
2020103513,ナンヨークリスタル,ロードカナロア,フジキセキ,Unbridled's Song,地,地,地,極,極,極,極,極,極,地・地・地｜極・極・極｜極・極・極
2020101725,エルカリエンテ,エイシンヒカリ,Mr. Greeley,Classic Go Go,地,バ,極,極,極,極,極,極,極,地・バ・極｜極・極・極｜極・極・極
2020102849,テンコマンドゥール,エイシンフラッシュ,フジキセキ,Jade Robbery,地,地,地,極,極,極,極,極,極,地・地・地｜極・極・極｜極・極・極
2020103728,ヤングローゼス,エピファネイア,エンパイアメーカー,サンデーサイレンス,極,地,バ,極,極,極,極,極,極,極・地・バ｜極・極・極｜極・極・極
2020100720,シャンボール,キズナ,タイキシャトル,リンドシェーバー,地,バ,極,極,極,極,極,極,極,地・バ・極｜極・極・極｜極・極・極
2020105525,カツノテンス,シルバーステート,サウスヴィグラス,アサティス,地,バ,極,地,地,地,地,極,地,地・バ・極｜地・地・地｜地・極・地
2020103622,フェブルウス,カレンブラックヒル,クロフネ,キャプテンスティーヴ,地,地,極,地,極,極,バ,地,極,地・地・極｜地・極・極｜バ・地・極
2020106458,カゲマル,ヘニーヒューズ,Red Ransom,Common Grounds,地,バ,極,極,極,極,地,極,極,地・バ・極｜極・極・極｜地・極・極
2020103980,オースミシエロ,マクフィ,フレンチデピュティ,Sadler's Wells,地,バ,バ,バ,極,極,地,極,極,地・バ・バ｜バ・極・極｜地・極・極
2020106129,サウザンパンチ,ダンカーク,ワイルドラッシュ,サンデーサイレンス,極,極,地,バ,地,極,極,極,極,極・極・地｜バ・地・極｜極・極・極
