level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,京都,ダ,1200.0,延長1-199,107,107,107,0.0,-0.0004696049576566885,-0.0032465126090544666,0.0,-0.00022135564083376947,-0.00045908834691915586
COURSE,京都,ダ,1200.0,延長200-399,108,108,108,0.0,4.155218641854752e-05,-0.031630036319680976,0.0,1.9682614619311983e-05,-0.004494794634902033
COURSE,京都,ダ,1200.0,短縮200-399,604,604,604,0.0,0.0014282892059740426,0.0025249796234144417,0.0,0.0011915561884092841,0.000631942414036874
COURSE,京都,ダ,1200.0,短縮400m+,179,179,179,0.0,0.0017743766302920072,-0.012801151569008518,0.0,0.0010622522301748137,-0.00229906969650755
COURSE,京都,ダ,1400.0,同距離,1680,1680,1680,0.0,0.003711646934293933,0.02043658089241121,0.0,0.0034642038053410043,0.005722242649875139
COURSE,京都,ダ,1400.0,延長200-399,696,696,696,0.0,0.003783570255909252,-0.013656194148639694,0.0,0.003227162865334362,-0.003494379090975451
COURSE,京都,ダ,1400.0,短縮200-399,392,392,392,0.0,0.0015982692405591692,-0.0019273646858200821,0.0,0.001223674887303114,-0.0004426915762743001
COURSE,京都,ダ,1400.0,短縮400m+,383,383,383,0.0,0.0029363778299267285,-0.029089404436446184,0.0,0.0022358503158289005,-0.006644875884190192
COURSE,京都,ダ,1800.0,同距離,2829,2829,2829,-0.0006896748707993089,-0.0001789822524294049,0.014892026348372847,-0.00026464431461393627,-0.00017169914958385435,0.004285813076250944
COURSE,京都,ダ,1800.0,延長1-199,394,394,394,0.036400793142686835,0.04977354997256456,0.00597244255972984,0.011161021399391917,0.038153265932277115,0.0013734293979767844
COURSE,京都,ダ,1800.0,延長200-399,212,212,212,0.019065288880642975,0.01658486003763382,-0.004491114570813207,0.0048696882442124225,0.01059033231318786,-0.000860346044288313
